                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8656,                 6.2377,                 3.4936,                0.06387,                0.10137,                0.02445,                0.00735,                 2.9196,                  4.636,                 2.5683,             0.00055503,             0.00055503,             0.00055503
                      2,                 2.9404,                 4.2352,                 2.4573,                0.03527,                0.13067,                0.01519,                0.00521,                 2.7156,                 84.885,                 2.3656,               0.001107,               0.001107,               0.001107
                      3,                 2.7362,                 3.7251,                 2.2464,                0.22368,                0.16752,                0.10748,                 0.0368,                 2.4798,                 3.0104,                 2.1168,              0.0016554,              0.0016554,              0.0016554
                      4,                 2.6331,                 3.4367,                 2.1518,                0.20041,                0.18724,                0.12464,                0.04622,                 2.3699,                 2.7898,                 2.0243,              0.0016505,              0.0016505,              0.0016505
                      5,                 2.5609,                 3.2407,                 2.0583,                0.18435,                0.22055,                0.11405,                 0.0428,                 2.3296,                 2.9407,                 2.0011,               0.001645,               0.001645,               0.001645
                      6,                 2.4749,                 2.9535,                 1.9939,                0.20287,                0.21803,                0.10302,                0.03766,                 2.2775,                 2.8366,                 1.9726,              0.0016395,              0.0016395,              0.0016395
                      7,                 2.4323,                 2.8582,                 1.9632,                0.16752,                0.15474,                0.07948,                0.02827,                 2.3116,                 2.8652,                 1.9279,               0.001634,               0.001634,               0.001634
                      8,                 2.4072,                 2.7503,                 1.9381,                0.21258,                0.27646,                 0.1624,                0.06756,                 2.1932,                 2.4744,                 1.8603,              0.0016285,              0.0016285,              0.0016285
                      9,                 2.3537,                 2.6403,                 1.8995,                0.22189,                0.25202,                0.14068,                0.05635,                 2.1859,                 2.5289,                 1.8915,               0.001623,               0.001623,               0.001623
                     10,                 2.3212,                 2.5202,                 1.8824,                0.21451,                0.22348,                0.14295,                0.05856,                 2.2652,                 2.5319,                 1.9183,              0.0016175,              0.0016175,              0.0016175
                     11,                 2.3074,                 2.5505,                 1.8724,                0.26736,                0.24706,                0.15107,                0.05947,                 2.2116,                 2.5338,                 1.8769,               0.001612,               0.001612,               0.001612
                     12,                 2.2633,                 2.6172,                 1.8262,                0.24726,                0.25239,                0.16632,                0.06706,                 2.2072,                 2.5381,                 1.8881,              0.0016065,              0.0016065,              0.0016065
                     13,                 2.2211,                 2.4091,                  1.814,                0.27028,                0.26341,                 0.1685,                0.06591,                 2.1324,                 2.4112,                 1.8021,               0.001601,               0.001601,               0.001601
                     14,                 2.2217,                 2.3953,                 1.8103,                0.27241,                0.27597,                0.17446,                0.07137,                 2.1055,                 2.5718,                 1.7728,              0.0015955,              0.0015955,              0.0015955
                     15,                 2.1886,                 2.3346,                 1.7892,                0.27315,                0.32262,                0.18561,                 0.0759,                 2.2389,                 2.2387,                 1.8708,                0.00159,                0.00159,                0.00159
                     16,                   2.19,                 2.2873,                 1.7812,                0.28826,                0.29818,                0.18589,                0.07347,                 2.2484,                 2.5698,                  1.896,              0.0015845,              0.0015845,              0.0015845
                     17,                 2.1657,                  2.257,                 1.7716,                0.27895,                0.29185,                0.19342,                0.08353,                 2.1478,                 2.4153,                 1.8202,               0.001579,               0.001579,               0.001579
                     18,                 2.1369,                 2.2241,                 1.7436,                0.29854,                0.28851,                0.16986,                0.06949,                  2.358,                 2.5431,                 2.0397,              0.0015735,              0.0015735,              0.0015735
                     19,                 2.1459,                 2.2249,                 1.7481,                0.29178,                0.26803,                0.22605,                0.09759,                 2.2003,                 2.5281,                   1.87,               0.001568,               0.001568,               0.001568
                     20,                 2.1367,                 2.1727,                 1.7482,                0.30569,                0.29383,                0.23495,                0.09382,                 2.2506,                 2.1923,                 1.9695,              0.0015625,              0.0015625,              0.0015625
                     21,                  2.093,                  2.158,                  1.722,                0.27899,                0.26684,                0.18732,                0.07618,                 2.1262,                 2.6602,                 1.7677,               0.001557,               0.001557,               0.001557
                     22,                 2.0874,                 2.1624,                 1.7095,                0.28343,                0.25098,                0.19158,                0.07672,                  2.306,                 2.4395,                 1.9051,              0.0015515,              0.0015515,              0.0015515
                     23,                 2.0397,                 2.0849,                  1.676,                0.25355,                0.27436,                0.18418,                0.07283,                 2.2683,                 2.2865,                 1.9674,               0.001546,               0.001546,               0.001546
                     24,                 2.0413,                 2.0208,                 1.6831,                0.29728,                 0.2617,                0.20151,                0.08711,                 2.2823,                 2.3663,                 2.0029,              0.0015405,              0.0015405,              0.0015405
                     25,                 2.0973,                 2.1048,                 1.6877,                0.30569,                0.25351,                0.20638,                 0.1012,                 2.0981,                 2.4587,                 1.8967,               0.001535,               0.001535,               0.001535
                     26,                 2.0305,                 2.0175,                   1.66,                0.28997,                0.28032,                 0.2095,                0.08778,                 2.2588,                 2.3203,                 1.9783,              0.0015295,              0.0015295,              0.0015295
                     27,                 2.0004,                 2.0683,                 1.6571,                0.29329,                0.27053,                0.20567,                0.09258,                 2.1716,                 2.4683,                 1.9626,               0.001524,               0.001524,               0.001524
                     28,                 2.0293,                 2.0386,                 1.6534,                0.27305,                0.26302,                0.17918,                0.08233,                 2.2094,                 2.4689,                 1.9263,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.9912,                 1.9298,                 1.6357,                0.29534,                0.25879,                0.19075,                0.07938,                 2.1019,                 2.3594,                 1.8821,               0.001513,               0.001513,               0.001513
                     30,                 1.9631,                 1.9149,                 1.6155,                0.31266,                0.32101,                0.21934,                0.10497,                 2.1551,                 2.4609,                  2.039,              0.0015075,              0.0015075,              0.0015075
                     31,                 1.9648,                 1.8668,                 1.6017,                0.26519,                0.31766,                 0.2138,                0.10015,                 2.1955,                 2.2923,                 1.9912,               0.001502,               0.001502,               0.001502
                     32,                 1.9635,                 1.8804,                 1.6189,                0.29342,                0.30181,                0.23858,                0.10522,                 2.0969,                  2.115,                 1.8825,              0.0014965,              0.0014965,              0.0014965
                     33,                 1.9266,                 1.8445,                 1.6131,                0.31344,                0.32076,                0.24129,                 0.0919,                 2.2709,                 2.3959,                 1.9894,               0.001491,               0.001491,               0.001491
                     34,                 1.9163,                 1.8282,                 1.5847,                0.28964,                0.28552,                0.19638,                0.07914,                 2.1946,                 2.1441,                  1.938,              0.0014855,              0.0014855,              0.0014855
