                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4695,                   3.53,                 4.1708,                 1.5322,                0.22653,                0.16627,                0.10971,                 0.0502,                0.15135,                 0.1649,                0.09186,                0.03403,                 2.1469,                 2.8466,                 3.1998,                 1.3794,             0.00055503,             0.00055503,             0.00055503
                      2,                 2.5115,                 3.3829,                 3.4071,                 1.5513,                0.14843,                 0.2292,                0.07344,                0.02263,                 0.1328,                0.19892,                0.05876,                 0.0216,                 2.4332,                 3.4306,                 3.7953,                 1.5412,               0.001107,               0.001107,               0.001107
                      3,                 2.5239,                  3.355,                 2.9914,                 1.5462,                0.19027,                0.20288,                0.10853,                0.04553,                0.17177,                0.19679,                0.10333,                0.03172,                 2.3282,                 2.9099,                 2.8422,                 1.4189,              0.0016554,              0.0016554,              0.0016554
                      4,                 2.4915,                  3.241,                 2.7918,                 1.5556,                0.22406,                0.18985,                0.10014,                0.04137,                0.20065,                 0.1865,                0.09775,                0.04057,                 2.3248,                 2.8858,                 2.9534,                 1.4046,              0.0016505,              0.0016505,              0.0016505
                      5,                 2.3945,                 3.1851,                 2.7019,                 1.5026,                0.18907,                0.22013,                0.08216,                0.02827,                 0.1562,                0.16466,                0.06169,                0.01956,                 2.1681,                 2.9579,                 2.5938,                 1.3568,               0.001645,               0.001645,               0.001645
                      6,                 2.3397,                 3.0739,                 2.5629,                 1.4833,                0.23718,                0.21827,                0.12545,                0.04904,                0.15387,                0.16292,                0.08617,                   0.03,                   2.23,                 2.8517,                 2.3136,                 1.4019,              0.0016395,              0.0016395,              0.0016395
                      7,                 2.3086,                 3.0415,                 2.4264,                 1.4562,                0.24179,                0.19495,                0.13015,                0.05278,                0.20287,                0.18961,                0.10112,                0.03454,                   2.18,                 2.8549,                 2.5846,                 1.3058,               0.001634,               0.001634,               0.001634
                      8,                 2.2819,                 2.9905,                 2.3838,                 1.4612,                0.32594,                0.19892,                0.16403,                0.06083,                0.22449,                0.12935,                0.10916,                0.04713,                 2.1184,                 2.8102,                  2.337,                 1.3315,              0.0016285,              0.0016285,              0.0016285
                      9,                 2.2216,                 2.9299,                 2.3423,                 1.4227,                0.27214,                0.20918,                0.14974,                0.05431,                0.17207,                0.16931,                0.08817,                0.03167,                 2.1172,                 2.7951,                 2.3973,                 1.3107,               0.001623,               0.001623,               0.001623
                     10,                 2.2177,                 2.9118,                 2.2058,                  1.419,                0.33431,                0.22013,                0.17746,                0.07925,                0.29353,                0.19792,                0.18076,                0.07439,                 2.1698,                 2.7323,                 2.0368,                 1.3597,              0.0016175,              0.0016175,              0.0016175
                     11,                 2.1814,                  2.839,                 2.1764,                 1.4028,                0.29834,                0.22081,                0.17075,                0.08401,                0.27787,                 0.1971,                0.15539,                0.05484,                 2.0532,                 2.8152,                  2.258,                 1.3434,               0.001612,               0.001612,               0.001612
                     12,                 2.1612,                 2.8258,                 2.2306,                 1.3787,                 0.2788,                0.22868,                0.16027,                0.07754,                0.23917,                0.19953,                0.13544,                0.05901,                 2.0486,                 2.7413,                 2.2424,                 1.2542,              0.0016065,              0.0016065,              0.0016065
                     13,                 2.1466,                 2.8269,                 2.1223,                 1.3835,                  0.365,                0.19311,                0.18613,                0.08293,                  0.351,                0.16107,                0.15725,                0.06751,                 2.1285,                 2.7774,                 2.3299,                 1.3559,               0.001601,               0.001601,               0.001601
                     14,                 2.1318,                 2.8223,                 2.1267,                 1.3805,                0.30954,                0.23924,                0.18703,                0.08267,                0.24382,                0.21412,                0.15634,                0.05974,                 1.9953,                 2.6647,                 2.3515,                 1.2392,              0.0015955,              0.0015955,              0.0015955
