                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5865,                 3.6381,                 4.4807,                 1.5551,                0.19067,                 0.1649,                0.11259,                 0.0437,                0.16115,                0.13289,                 0.0952,                0.03477,                 2.2302,                   2.77,                   4.32,                 1.3511,             0.00055503,             0.00055503,             0.00055503
                      2,                 2.5089,                 3.3668,                 3.5373,                 1.5195,                0.37218,                0.13395,                0.12097,                0.04531,                0.26265,                0.11481,                0.08107,                0.02993,                 2.2763,                 2.9158,                 3.6321,                 1.3851,               0.001107,               0.001107,               0.001107
                      3,                 2.4886,                 3.3349,                 3.0577,                 1.4976,                0.21012,                0.19296,                0.13148,                0.06273,                0.18406,                0.18501,                 0.1073,                0.03632,                 2.3722,                 3.0097,                 3.1561,                  1.514,              0.0016554,              0.0016554,              0.0016554
                      4,                 2.4505,                 3.2373,                 2.8337,                 1.5123,                0.35832,                0.17546,                0.16911,                0.07683,                0.27719,                0.14183,                0.12456,                0.03881,                 2.1868,                 2.8287,                  3.085,                 1.3301,              0.0016505,              0.0016505,              0.0016505
                      5,                 2.4228,                 3.1696,                 2.7426,                 1.4764,                0.19597,                0.25004,                0.12668,                0.05575,                0.16718,                0.20206,                0.09982,                0.03197,                 2.1065,                 2.8484,                 3.5233,                 1.3003,               0.001645,               0.001645,               0.001645
                      6,                 2.3607,                 3.0783,                 2.5327,                 1.4539,                0.23414,                0.19618,                0.13559,                0.06463,                0.18956,                0.16268,                0.10957,                0.04248,                 2.1722,                 2.7616,                  2.467,                 1.3671,              0.0016395,              0.0016395,              0.0016395
                      7,                 2.3082,                 3.0387,                 2.3883,                 1.4283,                0.20304,                0.19134,                0.14094,                0.06045,                0.20691,                0.13067,                0.09961,                 0.0325,                  2.281,                 2.8196,                 2.6746,                 1.3528,               0.001634,               0.001634,               0.001634
                      8,                 2.2817,                 2.9927,                  2.358,                 1.4286,                 0.2847,                0.25351,                0.17244,                0.06513,                0.15113,                0.19147,                0.10289,                0.04146,                  2.146,                 2.7149,                 2.7273,                 1.2932,              0.0016285,              0.0016285,              0.0016285
                      9,                  2.258,                 2.9706,                 2.3584,                  1.404,                0.32552,                0.21033,                0.19209,                0.07297,                 0.2255,                0.15151,                0.10994,                0.04173,                 2.2888,                 2.7638,                 2.4889,                 1.3504,               0.001623,               0.001623,               0.001623
                     10,                 2.2243,                 2.9394,                 2.2567,                 1.3832,                0.34062,                0.24383,                0.18215,                0.08344,                0.31017,                0.22798,                0.19382,                0.07654,                 2.0812,                 2.5529,                  2.322,                 1.3643,              0.0016175,              0.0016175,              0.0016175
                     11,                 2.2286,                 2.8826,                 2.2232,                 1.3886,                0.32532,                0.24222,                0.19145,                0.08001,                0.28913,                0.20723,                0.16688,                0.05799,                 2.1137,                 2.7822,                  2.359,                 1.3122,               0.001612,               0.001612,               0.001612
                     12,                 2.1894,                 2.8833,                 2.2659,                  1.364,                0.28701,                  0.234,                0.18529,                0.09153,                0.24316,                  0.216,                0.15601,                0.05934,                 2.1559,                 2.7714,                 2.2837,                  1.301,              0.0016065,              0.0016065,              0.0016065
                     13,                 2.1718,                 2.8752,                 2.1658,                 1.3636,                0.25094,                0.27299,                 0.1902,                0.08353,                0.21084,                0.23638,                0.16084,                0.06627,                 2.0879,                 2.5957,                 2.3058,                 1.3333,               0.001601,               0.001601,               0.001601
                     14,                 2.1711,                 2.8853,                 2.1861,                 1.3653,                0.26378,                0.22634,                0.16904,                0.08419,                0.20035,                0.17869,                0.13204,                0.04982,                 2.0174,                 2.7842,                 2.2951,                 1.2593,              0.0015955,              0.0015955,              0.0015955
                     15,                 2.1275,                 2.8223,                 2.0926,                 1.3287,                0.48939,                0.20239,                0.22937,                0.10181,                0.28307,                 0.2022,                0.16059,                0.06612,                  2.003,                 2.7216,                 2.2457,                 1.2998,                0.00159,                0.00159,                0.00159
                     16,                 2.1297,                 2.8148,                 2.0629,                 1.3467,                0.33415,                0.21852,                0.20369,                0.09511,                0.28019,                 0.1628,                0.15862,                0.06286,                 2.0108,                 2.7747,                  2.425,                 1.2658,              0.0015845,              0.0015845,              0.0015845
                     17,                 2.1091,                 2.7823,                 2.0446,                 1.3233,                0.27217,                0.23154,                0.16184,                0.07042,                0.25226,                0.18154,                0.13575,                0.05556,                 2.1502,                 2.7348,                 2.4136,                 1.3144,               0.001579,               0.001579,               0.001579
                     18,                 2.1003,                 2.7306,                 2.0585,                 1.3284,                0.30374,                0.22969,                0.19091,                0.09046,                0.34455,                0.15938,                0.16117,                0.05902,                 1.9521,                 2.7107,                 2.4564,                 1.2547,              0.0015735,              0.0015735,              0.0015735
                     19,                 2.1214,                 2.7976,                 2.0521,                 1.3218,                0.31095,                0.25214,                 0.2168,                0.10435,                0.21751,                0.21566,                0.15826,                0.06185,                 1.9865,                 2.6785,                 2.2563,                 1.2115,               0.001568,               0.001568,               0.001568
                     20,                 2.0892,                 2.7912,                 2.0216,                 1.3245,                 0.3065,                0.26368,                0.20137,                0.10152,                0.24433,                0.19332,                0.15842,                0.06313,                 2.0464,                 2.6125,                 2.3411,                 1.2823,              0.0015625,              0.0015625,              0.0015625
                     21,                 2.0311,                   2.66,                 1.9766,                 1.2995,                0.36204,                0.23751,                0.21217,                0.09541,                 0.2462,                0.17178,                 0.1485,                0.04618,                 1.9765,                 2.7908,                 2.3779,                 1.2291,               0.001557,               0.001557,               0.001557
