                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8871,                 5.1027,                  3.638,                0.11128,                0.13128,                0.03979,                0.01187,                 3.1389,                 3.7588,                 2.7676,             0.00055375,             0.00055375,             0.00055375
                      2,                 2.9103,                 3.4973,                 2.5361,                0.13696,                0.15547,                0.07313,                0.02669,                  2.688,                 3.0626,                 2.2203,              0.0011058,              0.0011058,              0.0011058
                      3,                 2.6775,                 3.0865,                 2.2077,                0.18268,                0.21715,                0.09797,                0.03579,                 2.5281,                 2.8611,                 2.1073,              0.0016541,              0.0016541,              0.0016541
                      4,                 2.5884,                 2.9131,                 2.1047,                0.21113,                0.20293,                0.12031,                 0.0413,                 2.4039,                 2.7662,                 1.9672,              0.0016505,              0.0016505,              0.0016505
                      5,                  2.491,                   2.79,                 1.9928,                 0.3335,                0.21876,                0.18608,                 0.0677,                 2.2778,                 2.5822,                 1.8804,               0.001645,               0.001645,               0.001645
                      6,                 2.3957,                 2.6537,                 1.9348,                0.26735,                0.21876,                 0.1535,                0.05879,                 2.2623,                 2.6704,                 1.8633,              0.0016395,              0.0016395,              0.0016395
                      7,                 2.3265,                 2.5618,                 1.8699,                0.26228,                0.25537,                0.17076,                0.06395,                 2.3392,                 2.3938,                 1.8494,               0.001634,               0.001634,               0.001634
                      8,                 2.3178,                 2.4457,                 1.8621,                0.28559,                 0.2442,                0.16058,                0.06201,                 2.2957,                  2.386,                 1.8342,              0.0016285,              0.0016285,              0.0016285
                      9,                  2.303,                 2.4181,                 1.8466,                0.27759,                0.28015,                 0.1734,                0.06598,                 2.2359,                 2.3722,                 1.8049,               0.001623,               0.001623,               0.001623
                     10,                 2.2488,                 2.3247,                  1.798,                0.27095,                0.26355,                 0.1823,                0.07487,                 2.2046,                 2.2119,                 1.7862,              0.0016175,              0.0016175,              0.0016175
                     11,                 2.2488,                  2.287,                 1.8082,                0.24215,                 0.3127,                  0.181,                0.07182,                 2.2215,                 2.3092,                  1.794,               0.001612,               0.001612,               0.001612
                     12,                 2.2029,                 2.2234,                 1.7723,                0.25625,                0.23973,                0.16505,                0.06288,                 2.2477,                 2.4088,                 1.8111,              0.0016065,              0.0016065,              0.0016065
                     13,                 2.1594,                 2.1189,                 1.7475,                  0.317,                0.24122,                0.18235,                0.07919,                 2.1338,                 2.3269,                 1.7289,               0.001601,               0.001601,               0.001601
                     14,                 2.1417,                 2.1057,                 1.7384,                0.35322,                0.27274,                0.21557,                0.07524,                 2.2418,                 2.2476,                  1.787,              0.0015955,              0.0015955,              0.0015955
                     15,                 2.1306,                  2.058,                 1.7285,                 0.3405,                0.24731,                0.19491,                0.07847,                 2.1624,                 2.2894,                 1.7387,                0.00159,                0.00159,                0.00159
                     16,                 2.0958,                 2.0019,                 1.6952,                0.29561,                0.30488,                 0.1776,                0.07088,                 2.1939,                 2.2766,                 1.7492,              0.0015845,              0.0015845,              0.0015845
                     17,                 2.0738,                 1.9868,                 1.6798,                0.27441,                0.28726,                0.18771,                0.08049,                 2.2302,                 2.2836,                 1.7946,               0.001579,               0.001579,               0.001579
                     18,                 2.0549,                 1.9539,                 1.6852,                0.30352,                0.29508,                0.18634,                0.08306,                 2.1639,                 2.3521,                 1.7079,              0.0015735,              0.0015735,              0.0015735
                     19,                 2.0552,                  1.916,                 1.6726,                0.38138,                0.26319,                0.21309,                0.08835,                 2.1722,                 2.2145,                 1.7298,               0.001568,               0.001568,               0.001568
                     20,                 2.0014,                 1.8597,                 1.6446,                0.32475,                0.26964,                0.19256,                0.09125,                 2.1105,                 2.2587,                 1.7141,              0.0015625,              0.0015625,              0.0015625
                     21,                 1.9938,                 1.8244,                 1.6214,                0.29315,                0.27472,                0.21224,                0.09767,                 2.1484,                 2.2203,                 1.7154,               0.001557,               0.001557,               0.001557
                     22,                 1.9857,                 1.8059,                 1.6269,                0.40684,                0.26307,                0.22034,                0.10352,                 2.1181,                 2.2374,                 1.6948,              0.0015515,              0.0015515,              0.0015515
                     23,                 1.9823,                 1.7608,                 1.6086,                0.31586,                0.31202,                 0.1903,                0.07381,                 2.1994,                   2.32,                 1.7607,               0.001546,               0.001546,               0.001546
                     24,                 1.9606,                 1.7262,                 1.5923,                0.33619,                0.29794,                0.23443,                0.10265,                 2.2075,                 2.2531,                 1.7848,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.9758,                 1.7384,                 1.5969,                 0.3484,                0.26319,                0.22215,                0.10084,                 2.1498,                 2.2096,                 1.7319,               0.001535,               0.001535,               0.001535
                     26,                  1.924,                 1.6643,                 1.5751,                0.40596,                0.28081,                0.24323,                0.10809,                 2.1937,                 2.2151,                    1.8,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.9247,                 1.6788,                 1.5785,                0.33088,                0.26529,                 0.2149,                0.09978,                 2.1553,                  2.222,                 1.7138,               0.001524,               0.001524,               0.001524
                     28,                 1.8952,                 1.6312,                 1.5574,                0.33545,                0.29682,                0.21363,                0.09807,                 2.1916,                 2.2076,                 1.7874,              0.0015185,              0.0015185,              0.0015185
                     29,                  1.894,                 1.6186,                 1.5577,                0.34129,                0.26523,                0.20906,                 0.0956,                 2.2307,                 2.3014,                 1.7492,               0.001513,               0.001513,               0.001513
                     30,                 1.8782,                 1.5927,                 1.5322,                0.30834,                0.30476,                0.22734,                0.09053,                 2.2594,                 2.2483,                 1.8061,              0.0015075,              0.0015075,              0.0015075
                     31,                  1.866,                 1.5654,                 1.5295,                0.35956,                0.25735,                0.23643,                0.10776,                 2.1452,                 2.1216,                 1.7345,               0.001502,               0.001502,               0.001502
                     32,                 1.8717,                 1.5505,                 1.5375,                0.31837,                0.25771,                0.21883,                0.10291,                 2.2278,                 2.1548,                 1.8206,              0.0014965,              0.0014965,              0.0014965
                     33,                 1.8423,                 1.5338,                 1.5238,                0.36462,                0.26952,                0.23238,                0.11197,                 2.1909,                 2.2237,                 1.7874,               0.001491,               0.001491,               0.001491
                     34,                 1.8073,                 1.4606,                 1.4882,                0.32959,                0.27734,                0.20288,                0.09601,                 2.2943,                 2.1854,                 1.9223,              0.0014855,              0.0014855,              0.0014855
                     35,                 1.8086,                 1.4846,                  1.503,                0.37844,                0.28254,                0.23572,                0.09334,                 2.2311,                 2.1984,                 1.8368,                0.00148,                0.00148,                0.00148
                     36,                 1.8238,                 1.4878,                 1.4967,                0.36564,                 0.2617,                0.20913,                0.09936,                 2.2403,                 2.3384,                 1.7964,              0.0014745,              0.0014745,              0.0014745
                     37,                 1.7959,                 1.4366,                 1.4788,                0.32916,                0.28552,                0.22925,                0.11024,                 2.2246,                  2.269,                 1.8091,               0.001469,               0.001469,               0.001469
